scene_id,domain,rgb_path,depth_path,width,height,object_count,categories,instruction_target,response_case,rgb_sha256,depth_sha256
27,artificial_pool,samples/rgb/rgb_000027.jpg,samples/depth_16bit/depth_000027.png,640,480,0,,red buoy,empty,7de8aa1c7a9e6a2652e82ca796bf05586bd217658b4cd4657ad3d9f696e1affe,4da1962268fc918a6523e3e5668d6d748af83cb9ff74c09558a7c6749ca05256
104,artificial_pool,samples/rgb/rgb_000104.jpg,samples/depth_16bit/depth_000104.png,640,480,4,black buoy|green bottle|green buoy|red bottle,black buoy,target_and_obstacle,557c52d0383d35de5202cbf2c3046d892ef494a081352dcefb316e80d9820c06,3ce47d0662294035a7cba0b4f8b51ab3405bc54841d579bb229635be5c9bb270
246,artificial_pool,samples/rgb/rgb_000246.jpg,samples/depth_16bit/depth_000246.png,640,480,4,blue bottle|red bottle|red buoy|yellow buoy,yellow buoy,target_and_obstacle,08d96c01aab4473e66f43f4058fbcbd8cbecd74d553d73e9d8be1c95d126edc7,628b742bcb82d37a3df21b3849fe15fda50de69d09a6a9e1c67ee608115c71ff
369,artificial_pool,samples/rgb/rgb_000369.jpg,samples/depth_16bit/depth_000369.png,640,480,4,black buoy|green bottle|red bottle|yellow buoy,blue and black foam,obstacle_only,aa0f01e17072aaeee688d49f360ad7ba292b1c524ec98171c5583f8cc8bbf040,5bc718e950a83c2d25e61a4bbfb4f1d10ec138251b509f2dfaa91d8c47ec62f8
559,artificial_pool,samples/rgb/rgb_000559.jpg,samples/depth_16bit/depth_000559.png,640,480,6,black buoy|green bottle|green buoy|red bottle|red buoy|yellow buoy,black buoy,target_and_obstacle,8fda482ae39e8053102252f07baf7b26446a2642581df5f0e635ff53d5352d82,94ea034ceb406c03831e31fa76344b88c4a8bab3cedc0998d84e92def68b1279
730,artificial_pool,samples/rgb/rgb_000730.jpg,samples/depth_16bit/depth_000730.png,640,480,0,,green bottle,empty,823ddfc1b8f0467077b1cfaa462de211f283a21d12c0dcdb8f308ff03d3782e6,4a2abcdeba34de173b39f69290797078be6c9d7c762a400f5f9bfb99fa7ac3f9
834,artificial_pool,samples/rgb/rgb_000834.jpg,samples/depth_16bit/depth_000834.png,640,480,5,black buoy|green buoy|paper bowl|red bottle|white foam,little yellow duck,obstacle_only,f84efed97e717cb810ab398df1900080ac536e725a3228ca2f51ab6983a0674a,315652ac28cec0fcb7390c398852c4362880f6567acddbbc8fe9f6c65c928e47
982,artificial_pool,samples/rgb/rgb_000982.jpg,samples/depth_16bit/depth_000982.png,640,480,2,black buoy|black foam,black buoy,target_and_obstacle,3161f7aca50f3c527620fdcc5bf0c9a96300747a9969dc084d331405956c862f,16f2c95a946074fb623bbe909282e3e3419c1e9a51e6b9a85d4ede02b9e4bcc3
1127,artificial_pool,samples/rgb/rgb_001127.jpg,samples/depth_16bit/depth_001127.png,640,480,2,green buoy|yellow buoy,yellow buoy,target_and_obstacle,66f4511c165b05ff3874d7b33c06712ef2798110fd0d5f635bae03e830d63a8d,1776003352547fd95b7fdcc6da36ad50335c479c43d798a03bd002cc1ed238b5
1350,artificial_pool,samples/rgb/rgb_001350.jpg,samples/depth_16bit/depth_001350.png,640,480,2,blue bottle|plastic bag,pop can,obstacle_only,aa1f234f13c28208ed6edcb23a9f17e619b105c4b19839efdeaec086c223998b,930f979c247ec167224f3269cfc7b2b52ad8e6bd13a81e4f20bf204e1c57a5e9
1428,artificial_pool,samples/rgb/rgb_001428.jpg,samples/depth_16bit/depth_001428.png,640,480,4,blue bottle|green buoy|little yellow duck|yellow buoy,yellow buoy,target_and_obstacle,81cef4a677b6eaefd3370456363dae7a671d786bb4881c47cd0451b79c4612e6,b095fdb81d62a99efc5c5bf324b488e021725a2e748f9a4756de4f8d4e68da72
1530,artificial_pool,samples/rgb/rgb_001530.jpg,samples/depth_16bit/depth_001530.png,640,480,1,red buoy,red buoy,target_only,bd8da14b889d6c74fcaab892b96d927df75b68a3d4b0ca0d17a926cbced99c2b,1506d5c1dda93c41f7e2a741753336eac87315bb1d6ef7f6bbe7660210d625c1
1673,artificial_pool,samples/rgb/rgb_001673.jpg,samples/depth_16bit/depth_001673.png,640,480,1,yellow buoy,blue bottle,obstacle_only,ecb4dc87e645754d3f96d1fb3204453d9f85e4a16c2dccf6de84547a4756937b,1784ba5c5e9724d0344aa148c7895d666f22d0dd8aa2567f7286c90889f9a33e
1801,artificial_pool,samples/rgb/rgb_001801.jpg,samples/depth_16bit/depth_001801.png,640,480,4,little yellow duck|paper bowl|white foam|yellow buoy,pop can,obstacle_only,dcf82088568493843e7642bb55703fb6100481de32075ede46cc120d2a2d1dec,32e6911bed152609ab7f795222ded3ca15a6a8c6332368e0e948b436cd3fe1ac
1878,artificial_pool,samples/rgb/rgb_001878.jpg,samples/depth_16bit/depth_001878.png,640,480,1,paper box,plastic bag,obstacle_only,569e6400160207d7e61c3c21b6583634aec6c961f1b322404b1c39ca5d9c656d,aec6e03a7399c647a61368dace0a3780d12a5f5022c7b9e7856f469ee501c6cd
